n           ,h  ,d    ,g    ,t   ,h_prob              ,cpu_time_poly ,wall_time_poly ,cpu_time_ddsim ,wall_time_ddsim ,cpu_time_aer ,wall_time_aer
3           ,1  ,8    ,10   ,4   ,0.05                ,0.0           ,0.000179       ,0.0            ,0.002051        ,0.0          ,0.001225
3           ,2  ,53   ,86   ,5   ,0.05                ,0.0           ,0.000593       ,0.0            ,0.001977        ,0.0          ,0.002319
3           ,3  ,50   ,82   ,6   ,0.05                ,0.0           ,0.000897       ,0.0            ,0.001884        ,0.0          ,0.002306
3           ,4  ,51   ,75   ,7   ,0.05                ,0.0           ,0.001433       ,0.0            ,0.001867        ,0.0          ,0.002294
3           ,5  ,136  ,205  ,8   ,0.05                ,0.01          ,0.007046       ,0.0            ,0.002481        ,0.0          ,0.00409
3           ,6  ,73   ,110  ,9   ,0.05                ,0.01          ,0.007483       ,0.0            ,0.001922        ,0.0          ,0.00278
3           ,7  ,95   ,126  ,10  ,0.05                ,0.01          ,0.016956       ,0.0            ,0.002647        ,0.01         ,0.002955
3           ,8  ,125  ,201  ,11  ,0.05                ,0.05          ,0.051935       ,0.01           ,0.002633        ,0.0          ,0.003587
3           ,9  ,47   ,78   ,12  ,0.05                ,0.04          ,0.041479       ,0.01           ,0.002093        ,0.0          ,0.002062
3           ,10 ,226  ,344  ,13  ,0.05                ,0.3           ,0.304294       ,0.0            ,0.002412        ,0.01         ,0.00455
3           ,11 ,152  ,236  ,14  ,0.05                ,0.34          ,0.346014       ,0.0            ,0.002466        ,0.01         ,0.002896
3           ,12 ,200  ,305  ,15  ,0.05                ,0.89          ,0.89465        ,0.0            ,0.002925        ,0.01         ,0.003933
3           ,13 ,152  ,239  ,16  ,0.05                ,-1            ,-1             ,0.0            ,0.003124        ,0.0          ,0.003328
3           ,14 ,191  ,299  ,17  ,0.05                ,-1            ,-1             ,0.0            ,0.002498        ,0.01         ,0.003733
3           ,15 ,215  ,332  ,18  ,0.05                ,-1            ,-1             ,0.01           ,0.00268         ,0.0          ,0.003988
3           ,16 ,190  ,291  ,19  ,0.05                ,-1            ,-1             ,0.0            ,0.002726        ,0.0          ,0.003803
3           ,17 ,269  ,412  ,20  ,0.05                ,-1            ,-1             ,0.0            ,0.003222        ,0.01         ,0.004674
3           ,18 ,283  ,420  ,21  ,0.05                ,-1            ,-1             ,0.0            ,0.00303         ,0.01         ,0.005628
3           ,19 ,298  ,441  ,22  ,0.05                ,-1            ,-1             ,0.0            ,0.003162        ,0.01         ,0.005257
3           ,20 ,391  ,621  ,23  ,0.05                ,-1            ,-1             ,0.0            ,0.003472        ,0.01         ,0.007008
3           ,21 ,279  ,420  ,24  ,0.05                ,-1            ,-1             ,0.0            ,0.002865        ,0.01         ,0.004965
3           ,22 ,240  ,375  ,25  ,0.05                ,-1            ,-1             ,0.0            ,0.002963        ,0.01         ,0.004331
3           ,23 ,212  ,341  ,26  ,0.05                ,-1            ,-1             ,0.01           ,0.00232         ,0.0          ,0.004139
3           ,24 ,266  ,409  ,27  ,0.05                ,-1            ,-1             ,0.01           ,0.003347        ,0.0          ,0.005199
3           ,25 ,211  ,325  ,28  ,0.05                ,-1            ,-1             ,0.01           ,0.003275        ,0.0          ,0.004713
3           ,26 ,391  ,632  ,29  ,0.05                ,-1            ,-1             ,0.0            ,0.00376         ,0.01         ,0.006885
3           ,27 ,312  ,498  ,30  ,0.05                ,-1            ,-1             ,0.01           ,0.003498        ,0.0          ,0.005673
3           ,28 ,269  ,431  ,31  ,0.05                ,-1            ,-1             ,0.01           ,0.002979        ,0.0          ,0.005092
3           ,29 ,275  ,423  ,32  ,0.05                ,-1            ,-1             ,0.01           ,0.003054        ,0.0          ,0.004801
3           ,30 ,268  ,425  ,33  ,0.05                ,-1            ,-1             ,0.0            ,0.003124        ,0.01         ,0.005304
3           ,31 ,365  ,576  ,34  ,0.05                ,-1            ,-1             ,0.0            ,0.003693        ,0.01         ,0.006298
3           ,32 ,526  ,804  ,35  ,0.05                ,-1            ,-1             ,0.01           ,0.00479         ,0.01         ,0.008609
3           ,33 ,398  ,612  ,36  ,0.05                ,-1            ,-1             ,0.01           ,0.004088        ,0.0          ,0.007091
3           ,34 ,338  ,537  ,37  ,0.05                ,-1            ,-1             ,0.0            ,0.003578        ,0.01         ,0.006263
3           ,35 ,376  ,596  ,38  ,0.05                ,-1            ,-1             ,0.0            ,0.004049        ,0.01         ,0.007202
3           ,36 ,485  ,737  ,39  ,0.05                ,-1            ,-1             ,0.0            ,0.004287        ,0.01         ,0.008183
3           ,37 ,495  ,772  ,40  ,0.05                ,-1            ,-1             ,0.0            ,0.004664        ,0.01         ,0.008644
3           ,38 ,487  ,730  ,41  ,0.05                ,-1            ,-1             ,0.01           ,0.00459         ,0.0          ,0.009076
3           ,39 ,619  ,956  ,42  ,0.05                ,-1            ,-1             ,0.01           ,0.004827        ,0.01         ,0.009946
3           ,40 ,726  ,1132 ,43  ,0.05                ,-1            ,-1             ,0.0            ,0.00512         ,0.01         ,0.011836
3           ,41 ,696  ,1058 ,44  ,0.05                ,-1            ,-1             ,0.01           ,0.005168        ,0.01         ,0.010893
3           ,42 ,510  ,791  ,45  ,0.05                ,-1            ,-1             ,0.0            ,0.004837        ,0.01         ,0.008517
3           ,43 ,426  ,657  ,46  ,0.05                ,-1            ,-1             ,0.0            ,0.004101        ,0.01         ,0.007341
3           ,44 ,526  ,818  ,47  ,0.05                ,-1            ,-1             ,0.01           ,0.004484        ,0.0          ,0.008897
3           ,45 ,491  ,777  ,48  ,0.05                ,-1            ,-1             ,0.0            ,0.004099        ,0.01         ,0.008134
3           ,46 ,591  ,903  ,49  ,0.05                ,-1            ,-1             ,0.01           ,0.005367        ,0.0          ,0.009551
3           ,47 ,592  ,937  ,50  ,0.05                ,-1            ,-1             ,0.01           ,0.004973        ,0.01         ,0.009889
3           ,48 ,597  ,865  ,51  ,0.05                ,-1            ,-1             ,0.01           ,0.005009        ,0.01         ,0.009218
3           ,49 ,770  ,1195 ,52  ,0.05                ,-1            ,-1             ,0.02           ,0.006111        ,0.01         ,0.012462
3           ,50 ,677  ,1064 ,53  ,0.05                ,-1            ,-1             ,0.0            ,0.005659        ,0.01         ,0.011268
3           ,51 ,656  ,1024 ,54  ,0.05                ,-1            ,-1             ,0.01           ,0.005669        ,0.01         ,0.010653
3           ,52 ,545  ,820  ,55  ,0.05                ,-1            ,-1             ,0.01           ,0.004713        ,0.01         ,0.009105
3           ,53 ,667  ,1036 ,56  ,0.05                ,-1            ,-1             ,0.01           ,0.005726        ,0.01         ,0.010962
3           ,54 ,763  ,1186 ,57  ,0.05                ,-1            ,-1             ,0.01           ,0.00598         ,0.01         ,0.012094
3           ,55 ,679  ,1028 ,58  ,0.05                ,-1            ,-1             ,0.01           ,0.005459        ,0.01         ,0.010807
3           ,56 ,691  ,1060 ,59  ,0.05                ,-1            ,-1             ,0.01           ,0.00581         ,0.01         ,0.011072
3           ,57 ,832  ,1272 ,60  ,0.05                ,-1            ,-1             ,0.01           ,0.006133        ,0.01         ,0.013513
3           ,58 ,670  ,1089 ,61  ,0.05                ,-1            ,-1             ,0.01           ,0.005308        ,0.01         ,0.011264
3           ,59 ,858  ,1314 ,62  ,0.05                ,-1            ,-1             ,0.0            ,0.006797        ,0.02         ,0.014016
3           ,60 ,831  ,1262 ,63  ,0.05                ,-1            ,-1             ,0.01           ,0.005713        ,0.01         ,0.01373
3           ,61 ,917  ,1413 ,64  ,0.05                ,-1            ,-1             ,0.01           ,0.00625         ,0.02         ,0.014417
3           ,62 ,858  ,1340 ,65  ,0.05                ,-1            ,-1             ,0.0            ,0.006359        ,0.02         ,0.013696
3           ,63 ,759  ,1196 ,66  ,0.05                ,-1            ,-1             ,0.0            ,0.00592         ,0.01         ,0.01235
3           ,64 ,747  ,1185 ,67  ,0.05                ,-1            ,-1             ,0.0            ,0.005783        ,0.01         ,0.012052
3           ,65 ,897  ,1412 ,68  ,0.05                ,-1            ,-1             ,0.01           ,0.006583        ,0.01         ,0.014525
3           ,66 ,803  ,1265 ,69  ,0.05                ,-1            ,-1             ,0.0            ,0.00601         ,0.01         ,0.013139
3           ,67 ,915  ,1449 ,70  ,0.05                ,-1            ,-1             ,0.0            ,0.00666         ,0.02         ,0.014434
3           ,68 ,633  ,1013 ,71  ,0.05                ,-1            ,-1             ,0.01           ,0.005202        ,0.01         ,0.010401
3           ,69 ,793  ,1188 ,72  ,0.05                ,-1            ,-1             ,0.01           ,0.005786        ,0.01         ,0.012619
3           ,70 ,937  ,1381 ,73  ,0.05                ,-1            ,-1             ,0.01           ,0.006497        ,0.01         ,0.014146
3           ,71 ,865  ,1378 ,74  ,0.05                ,-1            ,-1             ,0.0            ,0.006019        ,0.02         ,0.014349
3           ,72 ,969  ,1513 ,75  ,0.05                ,-1            ,-1             ,0.0            ,0.006988        ,0.02         ,0.015415
3           ,73 ,773  ,1180 ,76  ,0.05                ,-1            ,-1             ,0.01           ,0.005761        ,0.01         ,0.01228
3           ,74 ,1015 ,1546 ,77  ,0.05                ,-1            ,-1             ,0.01           ,0.007435        ,0.01         ,0.015354
3           ,75 ,846  ,1288 ,78  ,0.05                ,-1            ,-1             ,0.0            ,0.006131        ,0.01         ,0.01326
3           ,76 ,1096 ,1684 ,79  ,0.05                ,-1            ,-1             ,0.01           ,0.007493        ,0.01         ,0.01729
3           ,77 ,841  ,1322 ,80  ,0.05                ,-1            ,-1             ,0.01           ,0.006222        ,0.01         ,0.013512
3           ,78 ,948  ,1504 ,81  ,0.05                ,-1            ,-1             ,0.01           ,0.006843        ,0.01         ,0.015449
3           ,79 ,1086 ,1698 ,82  ,0.05                ,-1            ,-1             ,0.01           ,0.007586        ,0.01         ,0.017458
3           ,80 ,968  ,1514 ,83  ,0.05                ,-1            ,-1             ,0.01           ,0.00746         ,0.02         ,0.015293
3           ,81 ,1117 ,1698 ,84  ,0.05                ,-1            ,-1             ,0.01           ,0.007677        ,0.02         ,0.017076
3           ,82 ,1308 ,1977 ,85  ,0.05                ,-1            ,-1             ,0.01           ,0.008382        ,0.02         ,0.020174
3           ,83 ,961  ,1452 ,86  ,0.05                ,-1            ,-1             ,0.01           ,0.007645        ,0.02         ,0.014596
3           ,84 ,970  ,1513 ,87  ,0.05                ,-1            ,-1             ,0.01           ,0.008213        ,0.02         ,0.02012
3           ,85 ,1113 ,1686 ,88  ,0.05                ,-1            ,-1             ,0.0            ,0.007774        ,0.02         ,0.017153
3           ,86 ,1008 ,1538 ,89  ,0.05                ,-1            ,-1             ,0.01           ,0.007408        ,0.01         ,0.015311
3           ,87 ,1020 ,1567 ,90  ,0.05                ,-1            ,-1             ,0.0            ,0.007335        ,0.02         ,0.015667
3           ,88 ,1054 ,1612 ,91  ,0.05                ,-1            ,-1             ,0.01           ,0.007175        ,0.01         ,0.015979
3           ,89 ,1176 ,1748 ,92  ,0.05                ,-1            ,-1             ,0.01           ,0.008193        ,0.01         ,0.018038
3           ,90 ,1002 ,1515 ,93  ,0.05                ,-1            ,-1             ,0.01           ,0.007725        ,0.02         ,0.015267
