n          , h    , d  , g  , t  , h_prob             , cpu_time_poly, wall_time_poly, cpu_time_ddsim, wall_time_ddsim, cpu_time_aer, wall_time_aer
33         , 12   , 7  , 72 , 45 , 0.20000000000000007, 0.07         , 0.0827        , -1            , -1             , -1          , -1
33         , 13   , 7  , 49 , 46 , 0.20000000000000007, 0.1          , 0.099048      , -1            , -1             , -1          , -1
33         , 14   , 13 , 81 , 47 , 0.20000000000000007, 0.22         , 0.221046      , -1            , -1             , -1          , -1
33         , 15   , 11 , 89 , 48 , 0.20000000000000007, 0.62         , 0.617396      , -1            , -1             , -1          , -1
33         , 16   , 10 , 95 , 49 , 0.20000000000000007, 1.79         , 1.788158      , -1            , -1             , -1          , -1
33         , 17   , 8  , 70 , 50 , 0.20000000000000007, 1.79         , 1.79302       , -1            , -1             , -1          , -1
33         , 18   , 8  , 64 , 51 , 0.20000000000000007, 4.78         , 4.774627      , -1            , -1             , -1          , -1
33         , 19   , 10 , 78 , 52 , 0.20000000000000007, 8.44         , 8.448011      , -1            , -1             , -1          , -1
33         , 20   , 14 , 128, 53 , 0.20000000000000007, 32.87        , 32.871808     , -1            , -1             , -1          , -1
33         , 21   , 10 , 98 , 54 , 0.20000000000000007, 53.26        , 53.262359     , -1            , -1             , -1          , -1
33         , 22   , 11 , 92 , 55 , 0.20000000000000007, 106.88       , 106.892356    , -1            , -1             , -1          , -1
33         , 23   , 13 , 125, 56 , 0.20000000000000007, 242.45       , 242.492846    , -1            , -1             , -1          , -1
33         , 24   , 11 , 122, 57 , 0.20000000000000007, 554.61       , 554.68891     , -1            , -1             , -1          , -1
33         , 25   , 11 , 123, 58 , 0.20000000000000007, 1096.48      , 1096.636242   , -1            , -1             , -1          , -1
33         , 26   , 8  , 116, 59 , 0.20000000000000007, -1           , -1            , -1            , -1             , -1          , -1
34         , 12   , 7  , 70 , 46 , 0.20000000000000007, 0.06         , 0.062157      , -1            , -1             , -1          , -1
34         , 13   , 13 , 98 , 47 , 0.20000000000000007, 0.15         , 0.154466      , -1            , -1             , -1          , -1
34         , 14   , 9  , 74 , 48 , 0.20000000000000007, 0.21         , 0.211275      , -1            , -1             , -1          , -1
34         , 15   , 13 , 94 , 49 , 0.20000000000000007, 0.71         , 0.706609      , -1            , -1             , -1          , -1
34         , 16   , 9  , 105, 50 , 0.20000000000000007, 1.74         , 1.736115      , -1            , -1             , -1          , -1
34         , 17   , 8  , 56 , 51 , 0.20000000000000007, 1.94         , 1.936924      , -1            , -1             , -1          , -1
34         , 18   , 14 , 94 , 52 , 0.20000000000000007, 4.93         , 4.927871      , -1            , -1             , -1          , -1
34         , 19   , 8  , 83 , 53 , 0.20000000000000007, 11.44        , 11.43892      , -1            , -1             , -1          , -1
34         , 20   , 10 , 111, 54 , 0.20000000000000007, 38.35        , 38.351513     , -1            , -1             , -1          , -1
34         , 21   , 16 , 114, 55 , 0.20000000000000007, 53.6         , 53.610744     , -1            , -1             , -1          , -1
34         , 22   , 13 , 114, 56 , 0.20000000000000007, 140.05       , 140.072275    , -1            , -1             , -1          , -1
34         , 23   , 7  , 81 , 57 , 0.20000000000000007, 202.05       , 202.084348    , -1            , -1             , -1          , -1
34         , 24   , 15 , 134, 58 , 0.20000000000000007, 580.09       , 580.179773    , -1            , -1             , -1          , -1
34         , 25   , 13 , 125, 59 , 0.20000000000000007, 1404.39      , 1404.598828   , -1            , -1             , -1          , -1
34         , 26   , 16 , 132, 60 , 0.20000000000000007, -1           , -1            , -1            , -1             , -1          , -1
35         , 12   , 4  , 45 , 47 , 0.20000000000000007, 0.05         , 0.05431       , -1            , -1             , -1          , -1
35         , 13   , 9  , 73 , 48 , 0.20000000000000007, 0.1          , 0.102488      , -1            , -1             , -1          , -1
35         , 14   , 9  , 102, 49 , 0.20000000000000007, 0.38         , 0.3795        , -1            , -1             , -1          , -1
35         , 15   , 9  , 93 , 50 , 0.20000000000000007, 0.64         , 0.644202      , -1            , -1             , -1          , -1
