n  ,h  ,d  ,g  ,t  ,cpu_time_poly ,wall_time_poly            ,cpu_time_ddsim ,wall_time_ddsim      ,cpu_time_aer ,wall_time_aer
 2 , 1 , 2 , 2 , 3 ,     0.0      ,    0.0                   ,      0.0      ,0.012000083923339844 ,    0.0      ,0.001001119613647461
 2 , 2 , 4 , 5 , 4 ,     0.0      ,    0.0                   ,      0.015625 ,0.014976739883422852 ,    0.0      ,0.021997690200805664
 2 , 3 , 6 , 7 , 5 ,     0.0      ,    0.0                   ,      0.0      ,0.019577741622924805 ,    0.015625 ,0.001999378204345703
 2 , 4 ,16 ,19 , 6 ,     0.0      ,    0.0009989738464355469 ,      0.0      ,0.015999555587768555 ,    0.0      ,0.0010004043579101562
 2 , 5 , 8 ,10 , 7 ,     0.0      ,    0.0010249614715576172 ,      0.015625 ,0.012973785400390625 ,    0.0      ,0.002001523971557617
 2 , 6 ,18 ,19 , 8 ,     0.0      ,    0.0029866695404052734 ,      0.0      ,0.01099705696105957  ,    0.0      ,0.0009996891021728516
 2 , 7 ,11 ,12 , 9 ,     0.0      ,    0.004018545150756836  ,      0.015625 ,0.011960983276367188 ,    0.0      ,0.001004934310913086
 2 , 8 ,19 ,20 ,10 ,     0.0      ,    0.008997678756713867  ,      0.0      ,0.009557008743286133 ,    0.0      ,0.000982522964477539
 2 , 9 ,31 ,36 ,11 ,     0.03125  ,    0.027998685836791992  ,      0.0      ,0.01101827621459961  ,    0.0      ,0.0019996166229248047
 2 ,10 ,28 ,30 ,12 ,     0.03125  ,    0.05177807807922363   ,      0.0      ,0.011989355087280273 ,    0.0      ,0.001008749008178711
 2 ,11 ,29 ,31 ,13 ,     0.046875 ,    0.1241908073425293    ,      0.015625 ,0.014001846313476562 ,    0.0      ,0.0019989013671875
 2 ,12 ,41 ,44 ,14 ,     0.15625  ,    0.32082390785217285   ,      0.0      ,0.011019706726074219 ,    0.0      ,0.001026153564453125
 2 ,13 ,43 ,45 ,15 ,     0.375    ,    0.5715248584747314    ,      0.0      ,0.01219034194946289  ,    0.0      ,0.001561880111694336
 2 ,14 ,39 ,41 ,16 ,     0.78125  ,    1.0500640869140625    ,      0.0      ,0.01031184196472168  ,    0.0      ,0.0014193058013916016
 3 , 1 , 5 , 5 , 4 ,     0.0      ,    0.0                   ,      0.0      ,0.011078596115112305 ,    0.0      ,0.0010082721710205078
 3 , 2 , 5 , 5 , 5 ,     0.0      ,    0.0                   ,      0.0      ,0.011997461318969727 ,    0.0      ,0.0
 3 , 3 ,11 ,13 , 6 ,     0.0      ,    0.0010004043579101562 ,      0.015625 ,0.011359453201293945 ,    0.0      ,0.0010042190551757812
 3 , 4 , 8 ,11 , 7 ,     0.0      ,    0.0                   ,      0.0      ,0.010505914688110352 ,    0.0      ,0.0009999275207519531
 3 , 5 , 5 , 6 , 8 ,     0.0      ,    0.0010066032409667969 ,      0.0      ,0.010992765426635742 ,    0.0      ,0.0019991397857666016
 3 , 6 ,28 ,32 , 9 ,     0.0      ,    0.003000020980834961  ,      0.0      ,0.010007858276367188 ,    0.0      ,0.001996755599975586
 3 , 7 ,21 ,22 ,10 ,     0.0      ,    0.0040056705474853516 ,      0.015625 ,0.01099252700805664  ,    0.0      ,0.002186298370361328
 3 , 8 ,22 ,22 ,11 ,     0.015625 ,    0.009997367858886719  ,      0.0      ,0.010048627853393555 ,    0.0      ,0.001157522201538086
 3 , 9 ,27 ,32 ,12 ,     0.015625 ,    0.02449774742126465   ,      0.015625 ,0.012054920196533203 ,    0.0      ,0.0011010169982910156
 3 ,10 ,30 ,36 ,13 ,     0.0625   ,    0.05199861526489258   ,      0.0      ,0.011892318725585938 ,    0.0      ,0.0013353824615478516
 3 ,11 ,26 ,29 ,14 ,     0.078125 ,    0.106201171875        ,      0.0      ,0.013939857482910156 ,    0.015625 ,0.0011982917785644531
 3 ,12 ,30 ,36 ,15 ,     0.234375 ,    0.2529001235961914    ,      0.0      ,0.010009288787841797 ,    0.0      ,0.0018422603607177734
 3 ,13 ,32 ,40 ,16 ,     0.359375 ,    0.529728889465332     ,      0.015625 ,0.012042522430419922 ,    0.0      ,0.0014438629150390625
 3 ,14 ,34 ,42 ,17 ,     0.875    ,    1.1860356330871582    ,      0.0      ,0.010018587112426758 ,    0.015625 ,0.0020020008087158203
 4 , 1 , 6 , 7 , 5 ,     0.0      ,    0.0                   ,      0.0      ,0.01001739501953125  ,    0.0      ,0.0010018348693847656
 4 , 2 , 7 , 8 , 6 ,     0.015625 ,    0.0009989738464355469 ,      0.0      ,0.009018421173095703 ,    0.0      ,0.0010707378387451172
 4 , 3 , 3 , 3 , 7 ,     0.0      ,    0.0                   ,      0.0      ,0.009996891021728516 ,    0.0      ,0.0
 4 , 4 ,17 ,27 , 8 ,     0.0      ,    0.0                   ,      0.0      ,0.009003400802612305 ,    0.0      ,0.002001047134399414
 4 , 5 ,10 ,10 , 9 ,     0.0      ,    0.0                   ,      0.0      ,0.00914621353149414  ,    0.0      ,0.000972747802734375
 4 , 6 ,11 ,14 ,10 ,     0.0      ,    0.0019965171813964844 ,      0.0      ,0.009694099426269531 ,    0.0      ,0.0010437965393066406
 4 , 7 ,21 ,33 ,11 ,     0.0      ,    0.005998373031616211  ,      0.0      ,0.00900578498840332  ,    0.0      ,0.0020008087158203125
 4 , 8 ,17 ,27 ,12 ,     0.015625 ,    0.013998746871948242  ,      0.0      ,0.009087800979614258 ,    0.0      ,0.0009648799896240234
 4 , 9 ,26 ,31 ,13 ,     0.015625 ,    0.022997140884399414  ,      0.0      ,0.010122060775756836 ,    0.0      ,0.0010716915130615234
 4 ,10 ,29 ,38 ,14 ,     0.0625   ,    0.05450296401977539   ,      0.0      ,0.010001420974731445 ,    0.0      ,0.001020193099975586
 4 ,11 ,24 ,26 ,15 ,     0.09375  ,    0.08750510215759277   ,      0.0      ,0.0110015869140625   ,    0.0      ,0.0010256767272949219
 4 ,12 ,22 ,28 ,16 ,     0.1875   ,    0.19000959396362305   ,      0.0      ,0.010026931762695312 ,    0.0      ,0.0009968280792236328
 4 ,13 ,35 ,48 ,17 ,     0.921875 ,    1.52103590965271      ,      0.046875 ,0.015043020248413086 ,    0.0      ,0.0020003318786621094
 4 ,14 ,39 ,54 ,18 ,     0.8125   ,    2.1216015815734863    ,      0.0      ,0.010967016220092773 ,    0.0      ,0.002935171127319336
 5 , 1 , 2 , 2 , 6 ,     0.0      ,    0.0                   ,      0.015625 ,0.012000322341918945 ,    0.0      ,0.002015829086303711
 5 , 2 , 3 , 3 , 7 ,     0.0      ,    0.0                   ,      0.0      ,0.011999368667602539 ,    0.0      ,0.0010044574737548828
 5 , 3 , 7 , 9 , 8 ,     0.0      ,    0.0                   ,      0.0      ,0.00918269157409668  ,    0.0      ,0.0012314319610595703
 5 , 4 , 7 ,10 , 9 ,     0.0      ,    0.0                   ,      0.0      ,0.011591196060180664 ,    0.0      ,0.0010192394256591797
 5 , 5 , 8 , 9 ,10 ,     0.0      ,    0.000997781753540039  ,      0.0      ,0.010998249053955078 ,    0.0      ,0.002002239227294922
 5 , 6 ,17 ,22 ,11 ,     0.0      ,    0.0019986629486083984 ,      0.0      ,0.01300191879272461  ,    0.0      ,0.0019998550415039062
 5 , 7 ,10 ,15 ,12 ,     0.0      ,    0.00500178337097168   ,      0.0      ,0.014086723327636719 ,    0.0      ,0.0010001659393310547
 5 , 8 ,19 ,26 ,13 ,     0.0      ,    0.011970281600952148  ,      0.0      ,0.012004852294921875 ,    0.0      ,0.0020020008087158203
 5 , 9 ,22 ,31 ,14 ,     0.015625 ,    0.02802586555480957   ,      0.0      ,0.01097869873046875  ,    0.0      ,0.003006458282470703
 5 ,10 ,15 ,22 ,15 ,     0.046875 ,    0.04500532150268555   ,      0.0      ,0.011098623275756836 ,    0.0      ,0.0019986629486083984
 5 ,11 ,26 ,40 ,16 ,     0.046875 ,    0.16072964668273926   ,      0.0      ,0.014004230499267578 ,    0.015625 ,0.0019981861114501953
 5 ,12 ,25 ,36 ,17 ,     0.0625   ,    0.35570526123046875   ,      0.0      ,0.01199960708618164  ,    0.0      ,0.0010709762573242188
 5 ,13 ,35 ,44 ,18 ,     0.4375   ,    0.6084036827087402    ,      0.0      ,0.013083457946777344 ,    0.0      ,0.0019211769104003906
 5 ,14 ,27 ,39 ,19 ,     0.75     ,    1.2054054737091064    ,      0.0      ,0.009993314743041992 ,    0.0      ,0.0021800994873046875
 6 , 1 , 3 , 4 , 7 ,     0.0      ,    0.0                   ,      0.0      ,0.01108694076538086  ,    0.0      ,0.0008695125579833984
 6 , 2 , 2 , 2 , 8 ,     0.0      ,    0.0                   ,      0.0      ,0.011110067367553711 ,    0.0      ,0.0010075569152832031
 6 , 3 , 8 ,16 , 9 ,     0.0      ,    0.00099945068359375   ,      0.0      ,0.009082317352294922 ,    0.0      ,0.0009191036224365234
 6 , 4 , 8 ,14 ,10 ,     0.0      ,    0.0010852813720703125 ,      0.0      ,0.010914802551269531 ,    0.0      ,0.0009989738464355469
 6 , 5 , 8 ,12 ,11 ,     0.0      ,    0.0010824203491210938 ,      0.0      ,0.01099848747253418  ,    0.0      ,0.0009171962738037109
 6 , 6 ,10 ,17 ,12 ,     0.0      ,    0.0020873546600341797 ,      0.0      ,0.012996435165405273 ,    0.0      ,0.000919342041015625
 6 , 7 ,15 ,21 ,13 ,     0.0      ,    0.003998279571533203  ,      0.015625 ,0.012560606002807617 ,    0.0      ,0.0011696815490722656
 6 , 8 ,15 ,20 ,14 ,     0.015625 ,    0.00899648666381836   ,      0.0      ,0.011061429977416992 ,    0.0      ,0.002026796340942383
 6 , 9 ,16 ,26 ,15 ,     0.0      ,    0.021786212921142578  ,      0.015625 ,0.011895179748535156 ,    0.0      ,0.0010044574737548828
 6 ,10 ,23 ,40 ,16 ,     0.046875 ,    0.060907840728759766  ,      0.0      ,0.013195276260375977 ,    0.0      ,0.0015263557434082031
 6 ,11 ,18 ,28 ,17 ,     0.09375  ,    0.10068511962890625   ,      0.0      ,0.011421918869018555 ,    0.0      ,0.0020055770874023438
 6 ,12 ,20 ,27 ,18 ,     0.171875 ,    0.20748448371887207   ,      0.0      ,0.012095928192138672 ,    0.0      ,0.0012929439544677734
 6 ,13 ,31 ,45 ,19 ,     0.484375 ,    0.6113252639770508    ,      0.0      ,0.009079933166503906 ,    0.0      ,0.0014948844909667969
 6 ,14 ,30 ,44 ,20 ,     0.921875 ,    1.2597029209136963    ,      0.0      ,0.013047933578491211 ,    0.0      ,0.0009491443634033203
 7 , 1 , 2 , 4 , 8 ,     0.0      ,    0.0                   ,      0.0      ,0.008995294570922852 ,    0.0      ,0.0009999275207519531
 7 , 2 , 2 , 2 , 9 ,     0.0      ,    0.0                   ,      0.0      ,0.009999275207519531 ,    0.0      ,0.0010008811950683594
 7 , 3 , 5 ,12 ,10 ,     0.0      ,    0.0                   ,      0.015625 ,0.01091766357421875  ,    0.0      ,0.0020055770874023438
 7 , 4 , 6 , 9 ,11 ,     0.0      ,    0.0010042190551757812 ,      0.0      ,0.012003660202026367 ,    0.0      ,0.0019953250885009766
 7 , 5 , 7 ,12 ,12 ,     0.0      ,    0.0010001659393310547 ,      0.0      ,0.012738704681396484 ,    0.0      ,0.0010030269622802734
 7 , 6 , 8 , 9 ,13 ,     0.0      ,    0.0009984970092773438 ,      0.0      ,0.012087583541870117 ,    0.0      ,0.0009608268737792969
 7 , 7 ,12 ,17 ,14 ,     0.015625 ,    0.003998994827270508  ,      0.0      ,0.012082099914550781 ,    0.0      ,0.0010001659393310547
 7 , 8 ,15 ,19 ,15 ,     0.015625 ,    0.011996984481811523  ,      0.0      ,0.011004924774169922 ,    0.0      ,0.0010008811950683594
 7 , 9 ,19 ,27 ,16 ,     0.03125  ,    0.038787841796875     ,      0.0      ,0.013001203536987305 ,    0.0      ,0.002001523971557617
 7 ,10 ,20 ,37 ,17 ,     0.015625 ,    0.07759809494018555   ,      0.0      ,0.011922121047973633 ,    0.0      ,0.0009965896606445312
